FAOspecies	assemblage
COD	DEF
POK	DEF
GHL	DEF
HER	SPF
CAP	SPF
MAC	SPF
HAD	DEF
REG	DEF
PRA	CRU
MON	DEF
LIN	DEF
HKE	DEF
USK	DEF
CAS	DEF
SRX	DEF
CUS	DEF
WHB	SPF
HOM	SPF
REB	DEF
CAA	DEF
ARU	DEF
BLI	DEF
HAL	DEF
POL	DEF
WHG	DEF
MEG	DEF
PLE	DEF
CMO	DEF
NOP	DEF
MZZ	MIS
SPR	SPF
CAT	DEF
GFB	DEF
MIW	MIS
CRQ	CRU
KRI	CRU
SAN	DEF
CAB	DEF
SQE	SPF
LEM	DEF
WIT	DEF
SOS	DEF
FLE	DEF
MAV	DEF
ARG	DEF
LAH	MIS
JCM	MIS
KCD	CRU
PLA	DEF
LUM	DEF
SQU	SPF
HKX	DEF
BFT	LPF
GAD	DEF
NEP	CRU
ARY	DEF
DGS	DEF
BLL	DEF
CRN	CRU
TOA	DEF
DAB	DEF
PAN	CRU
LXX	SPF
RAJ	DEF
GDG	DEF
PLZ	DEF
BLW	MIS
SLX	MIS
PAL	CRU
CRE	CRU
BHG	SPF
GUX	DEF
NKR	CRU
KCT	CRU
SKA	DEF
GUU	DEF
TVK	DEF
RED	DEF
ANF	DEF
RHG	DEF
RJR	DEF
RJB	DEF
SAL	SPF
POR	MIS
SOL	DEF
JAD	DEF
PEN	CRU
KCX	MIS
MIS	MIS
WEG	DEF
