kommune	locode
VIKNA	NORVK
VESTBY	NOMSS
VÅGSØY	NOMAY
ÅLESUND	NOAES
ARENDAL	NOARE
ASKVOLL	NOATL
AUSTEVOLL	NOSTB
BAMBLE	NOSTA
BERGEN	NOBGO
BØ i Nordland	NOEDT
BØMLO	NOBOM
BREMANGER	NOSVE
BRØNNØY	NOBNN
EIGERSUND	NOEGE
FLEKKEFJORD	NOFFD
FLORA	NOFRO
FRÆNA	NOKSU
GRIMSTAD	NOGTD
HÅ	NOSRV
HARAM	NOBRV
HAREID	NOHRI
HAUGESUND	NOHAU
HERØY i Møre og Romsdal	NOFOS
HJELMELAND	NOHJL
HVALER	NOSKH
KARMØY	NOSKU
KRAGERØ	NOKRA
KRISTIANSAND	NOKRS
LILLESAND	NOLIL
LINDESNES	NOBAL
LØDINGEN	NOLOD
MANDAL	NOMAN
MOSS	NOMSS
ØRLAND	NOOTB
OS i Hordaland	NOOOS
OSLO	NOOSL
RENNESØY	NOREN
RISØR	NORIS
ROAN	NONFO
SANDEFJORD	NOSAD
SELJE	NOSJE
SMØLA	NOSMO
STAVANGER	NOSVG
STORD	NOSBA
SULA	NOLAN
SUND	NOSKG
SVEIO	NOSVO
TØNSBERG	NOTON
TRÆNA	NOTRA
TROMSØ	NOTOS
TYSVÆR	NOTYV
VÆRØY	NOVEY
